id,qr_code_uid,qr_code_name
1820,2017/01/20/4m9omhwmsq_Tillis_district_1820.png,Tillis_district_1820.png
1822,2017/01/20/8lxnyb7tn7_Tillis_district_1822.png,Tillis_district_1822.png
1827,2017/01/20/zeyrqa5jn_Udall_district_1827.png,Udall_district_1827.png
1830,2017/01/20/k1bksw5k0_Udall_district_1830.png,Udall_district_1830.png
1832,2017/01/20/6gcfk408h2_Vel_zquez_district_1832.png,Velázquez_district_1832.png
1833,2017/01/20/4qs5xr077g_Vel_zquez_district_1833.png,Velázquez_district_1833.png
1835,2017/01/20/3c00ywfu9q_Valadao_district_1835.png,Valadao_district_1835.png
1836,2017/01/20/20ndaw6hy9_Valadao_district_1836.png,Valadao_district_1836.png
1838,2017/01/20/3g798f00ix_Vargas_district_1838.png,Vargas_district_1838.png
1839,2017/01/20/6w3jzqev7l_Veasey_district_1839.png,Veasey_district_1839.png
1841,2017/01/20/8o1tkdxs8f_Vela_district_1841.png,Vela_district_1841.png
1844,2017/01/20/8dohzkaxzm_Vela_district_1844.png,Vela_district_1844.png
1846,2017/01/20/dnubv97ig_Wicker_district_1846.png,Wicker_district_1846.png
1847,2017/01/20/3rb1he49bu_Wicker_district_1847.png,Wicker_district_1847.png
1848,2017/01/20/7pnk7qgto3_Wicker_district_1848.png,Wicker_district_1848.png
1851,2017/01/20/8to0c61j0m_Wyden_district_1851.png,Wyden_district_1851.png
1853,2017/01/20/32x6a4dxme_Wyden_district_1853.png,Wyden_district_1853.png
1854,2017/01/20/81690ui134_Wyden_district_1854.png,Wyden_district_1854.png
1857,2017/01/20/2xpj2wf8bl_Walden_district_1857.png,Walden_district_1857.png
1859,2017/01/20/3xa9rfl2hx_Wilson_district_1859.png,Wilson_district_1859.png
1860,2017/01/20/70han273dh_Wilson_district_1860.png,Wilson_district_1860.png
1862,2017/01/20/6d6zbgj7yu_Wasserman_Schultz_district_1862.png,Wasserman Schultz_district_1862.png
1863,2017/01/20/d7ns297ju_Walberg_district_1863.png,Walberg_district_1863.png
1867,2017/01/20/1ht6cx5lk5_Whitehouse_district_1867.png,Whitehouse_district_1867.png
1868,2017/01/20/uaipunop7_Wittman_district_1868.png,Wittman_district_1868.png
1870,2017/01/20/89ciii64b8_Wittman_district_1870.png,Wittman_district_1870.png
1871,2017/01/20/2xvayqri3w_Warner_district_1871.png,Warner_district_1871.png
1872,2017/01/20/7fo8x5j75c_Warner_district_1872.png,Warner_district_1872.png
1875,2017/01/20/3zuwrjl6a3_Warner_district_1875.png,Warner_district_1875.png
1877,2017/01/20/28m5hafu36_Webster_district_1877.png,Webster_district_1877.png
1878,2017/01/20/4y5f2rsm1l_Webster_district_1878.png,Webster_district_1878.png
1880,2017/01/20/315de66zqk_Wilson_district_1880.png,Wilson_district_1880.png
1881,2017/01/20/1irdqckbru_Wilson_district_1881.png,Wilson_district_1881.png
1883,2017/01/20/8xxx5sjg7d_Womack_district_1883.png,Womack_district_1883.png
1886,2017/01/20/2zaqp6l6sl_Wagner_district_1886.png,Wagner_district_1886.png
1888,2017/01/20/1bm195u9hs_Walorski_district_1888.png,Walorski_district_1888.png
1889,2017/01/20/9l05tn74ud_Weber_district_1889.png,Weber_district_1889.png
1891,2017/01/20/5evib71kou_Weber_district_1891.png,Weber_district_1891.png
1892,2017/01/20/1ygk7hiv25_Wenstrup_district_1892.png,Wenstrup_district_1892.png
1894,2017/01/20/x924wusk5_Wenstrup_district_1894.png,Wenstrup_district_1894.png
1896,2017/01/20/6hbv9je8c_Williams_district_1896.png,Williams_district_1896.png
1899,2017/01/20/5upgamquri_Walker_district_1899.png,Walker_district_1899.png
1900,2017/01/20/23q0jkh66f_Walker_district_1900.png,Walker_district_1900.png
1902,2017/01/20/sq4lx7fk8_Westerman_district_1902.png,Westerman_district_1902.png
1904,2017/01/20/89y0o2ltp_Westerman_district_1904.png,Westerman_district_1904.png
1905,2017/01/20/1ic32fgfsj_Westerman_district_1905.png,Westerman_district_1905.png
1907,2017/01/20/4qyhzmy161_Young_district_1907.png,Young_district_1907.png
1908,2017/01/20/287tdsjmi6_Young_district_1908.png,Young_district_1908.png
1911,2017/01/20/5dn06njkiz_Yoho_district_1911.png,Yoho_district_1911.png
1913,2017/01/20/7y7ddmk69x_Young_district_1913.png,Young_district_1913.png
1914,2017/01/20/8u519zykxs_Young_district_1914.png,Young_district_1914.png
1916,2017/01/20/44vjc28pio_Zeldin_district_1916.png,Zeldin_district_1916.png
1917,2017/01/20/1ajru414jj_Zeldin_district_1917.png,Zeldin_district_1917.png
1919,2017/01/20/37r5p9vzhy_Zinke_district_1919.png,Zinke_district_1919.png
1920,2017/01/20/3wf4p8riny_Zinke_district_1920.png,Zinke_district_1920.png
4,2017/01/20/6w1b3r4rig_Carper_capitol_4.png,Carper_capitol_4.png
25,2017/01/20/64t3xxxnhu_Graham_capitol_25.png,Graham_capitol_25.png
47,2017/01/20/3b4ygop2lf_Bennet_capitol_47.png,Bennet_capitol_47.png
70,2017/01/20/vkah5xs5f_Carter_capitol_70.png,Carter_capitol_70.png
95,2017/01/20/8cur1jozav_Cummings_capitol_95.png,Cummings_capitol_95.png
117,2017/01/20/5u2bm24iq9_Fleischmann_capitol_117.png,Fleischmann_capitol_117.png
137,2017/01/20/z9k0xpip3_Griffith_capitol_137.png,Griffith_capitol_137.png
159,2017/01/20/3uu670nscm_Jenkins_capitol_159.png,Jenkins_capitol_159.png
185,2017/01/20/7bb04vf7ha_Levin_capitol_185.png,Levin_capitol_185.png
205,2017/01/20/3sahhnls2q_McClintock_capitol_205.png,McClintock_capitol_205.png
225,2017/01/20/4b9wcs8msw_Norton_capitol_225.png,Norton_capitol_225.png
247,2017/01/20/2bb7hcn8mg_Reed_capitol_247.png,Reed_capitol_247.png
270,2017/01/20/25hz4w28j_Scalise_capitol_270.png,Scalise_capitol_270.png
292,2017/01/20/55aed99wdi_Smith_capitol_292.png,Smith_capitol_292.png
345,2017/01/20/8ua0x28w8a_Swalwell_capitol_345.png,Swalwell_capitol_345.png
355,2017/01/20/2nherrn5yd_Yoho_capitol_355.png,Yoho_capitol_355.png
364,2017/01/20/1ystvnqbjr_Brooks_capitol_364.png,Brooks_capitol_364.png
385,2017/01/20/8n7mn2zhqd_Jeffries_capitol_385.png,Jeffries_capitol_385.png
400,2017/01/20/69beqzthje_Castro_capitol_400.png,Castro_capitol_400.png
411,2017/01/20/2ntmlyrzad_Smith_capitol_411.png,Smith_capitol_411.png
433,2017/01/20/3vs0emmnue_Loudermilk_capitol_433.png,Loudermilk_capitol_433.png
444,2017/01/20/4rjer376ap_Trott_capitol_444.png,Trott_capitol_444.png
455,2017/01/20/4t2j46nym8_Katko_capitol_455.png,Katko_capitol_455.png
477,2017/01/20/3l2k666d2t_Sasse_capitol_477.png,Sasse_capitol_477.png
488,2017/01/20/60ifb0pfbg_Cortez_Masto_capitol_488.png,Cortez Masto_capitol_488.png
498,2017/01/20/7m1wfd3lxq_Blunt_Rochester_capitol_498.png,Blunt Rochester_capitol_498.png
521,2017/01/20/4lvkaqwph9_Budd_capitol_521.png,Budd_capitol_521.png
533,2017/01/20/3mu2x3cjrm_Kustoff_capitol_533.png,Kustoff_capitol_533.png
600,2017/01/20/5f05igv175_Boozman_district_600.png,Boozman_district_600.png
618,2017/01/20/3zel3k864x_Barrasso_district_618.png,Barrasso_district_618.png
629,2017/01/20/zh6w4f9px_Barletta_district_629.png,Barletta_district_629.png
646,2017/01/20/3wed9y0z6l_Beatty_district_646.png,Beatty_district_646.png
667,2017/01/20/9aac7fxsct_Bishop_district_667.png,Bishop_district_667.png
674,2017/01/20/4j7rpjba95_Bost_district_674.png,Bost_district_674.png
698,2017/01/20/7njhm4mdx_Cardin_district_698.png,Cardin_district_698.png
722,2017/01/20/2917kqcnpo_Crapo_district_722.png,Crapo_district_722.png
725,2017/01/20/4cmld35yc1_Cummings_district_725.png,Cummings_district_725.png
752,2017/01/20/2lb5mlnh0g_Cornyn_district_752.png,Cornyn_district_752.png
772,2017/01/20/8ynf20grqn_Castor_district_772.png,Castor_district_772.png
788,2017/01/20/53tgt212n3_Corker_district_788.png,Corker_district_788.png
814,2017/01/20/k2a63qxp6_Castro_district_814.png,Castro_district_814.png
818,2017/01/20/73o05sg17m_Cook_district_818.png,Cook_district_818.png
833,2017/01/20/42ha9gityj_Cruz_district_833.png,Cruz_district_833.png
859,2017/01/20/7azejjy9nj_Doggett_district_859.png,Doggett_district_859.png
867,2017/01/20/93bx33338_Durbin_district_867.png,Durbin_district_867.png
893,2017/01/20/87ve26bb9g_DesJarlais_district_893.png,DesJarlais_district_893.png
911,2017/01/20/4ha6la1k5v_Davis_district_911.png,Davis_district_911.png
920,2017/01/20/30i2tp58vt_Donovan_district_920.png,Donovan_district_920.png
942,2017/01/20/53o5pgcrki_Ernst_district_942.png,Ernst_district_942.png
959,2017/01/20/5qmpl8qn7j_Foster_district_959.png,Foster_district_959.png
964,2017/01/20/6nlz1e4vtc_Franken_district_964.png,Franken_district_964.png
988,2017/01/20/6wrqjmx2ie_Goodlatte_district_988.png,Goodlatte_district_988.png
1007,2017/01/20/2j73xl1sqb_Graves_district_1007.png,Graves_district_1007.png
1015,2017/01/20/6an6vjs04y_Gohmert_district_1015.png,Gohmert_district_1015.png
1036,2017/01/20/2gnnkk2ltk_Gardner_district_1036.png,Gardner_district_1036.png
1054,2017/01/20/3p4myjsglv_Graves_district_1054.png,Graves_district_1054.png
1066,2017/01/20/2l6pfbchcx_Hatch_district_1066.png,Hatch_district_1066.png
1095,2017/01/20/3p2mwteijx_Harris_district_1095.png,Harris_district_1095.png
1099,2017/01/20/49oxjegav_Hartzler_district_1099.png,Hartzler_district_1099.png
1105,2017/01/20/7jeix06m6r_Hoeven_district_1105.png,Hoeven_district_1105.png
1125,2017/01/20/3g367zwxtl_Heitkamp_district_1125.png,Heitkamp_district_1125.png
1146,2017/01/20/5w25t6fjtq_Jackson_Lee_district_1146.png,Jackson Lee_district_1146.png
1163,2017/01/20/2767p1uizm_Johnson_district_1163.png,Johnson_district_1163.png
1183,2017/01/20/544t63oapk_King_district_1183.png,King_district_1183.png
1194,2017/01/20/2t85v626oe_Kelly_district_1194.png,Kelly_district_1194.png
1205,2017/01/20/4ynora6b57_Kuster_district_1205.png,Kuster_district_1205.png
1229,2017/01/20/4vcyn4qaq5_Kelly_district_1229.png,Kelly_district_1229.png
1242,2017/01/20/2ba4m3v3k6_Lewis_district_1242.png,Lewis_district_1242.png
1261,2017/01/20/45zeqn6rc1_Lipinski_district_1261.png,Lipinski_district_1261.png
1284,2017/01/20/343le4edue_Labrador_district_1284.png,Labrador_district_1284.png
1289,2017/01/20/44etpzfqm6_Lee_district_1289.png,Lee_district_1289.png
1291,2017/01/20/6o7d037ot0_Lee_district_1291.png,Lee_district_1291.png
1312,2017/01/20/8cx7u7rbpl_Maloney_district_1312.png,Maloney_district_1312.png
1336,2017/01/20/1tbf3620e1_Murray_district_1336.png,Murray_district_1336.png
1353,2017/01/20/3rsuvcoc6a_McHenry_district_1353.png,McHenry_district_1353.png
1373,2017/01/20/1wemkginj2_McCaskill_district_1373.png,McCaskill_district_1373.png
1382,2017/01/20/89y3baz3ly_Marino_district_1382.png,Marino_district_1382.png
1385,2017/01/20/4inea2qdes_McKinley_district_1385.png,McKinley_district_1385.png
1407,2017/01/20/1epwp5hm4n_Meadows_district_1407.png,Meadows_district_1407.png
1425,2017/01/20/8nj1qcb29e_Messer_district_1425.png,Messer_district_1425.png
1442,2017/01/20/7kqzhalfdv_Murphy_district_1442.png,Murphy_district_1442.png
1457,2017/01/20/9crd21l6sq_Nolan_district_1457.png,Nolan_district_1457.png
1472,2017/01/20/6zz9lngc4k_Olson_district_1472.png,Olson_district_1472.png
1491,2017/01/20/8mbzu6g9cp_Portman_district_1491.png,Portman_district_1491.png
1512,2017/01/20/un538i4h0_Peters_district_1512.png,Peters_district_1512.png
1519,2017/01/20/80rl09hfpd_Palazzo_district_1519.png,Palazzo_district_1519.png
1531,2017/01/20/9g88uri4cm_Payne_district_1531.png,Payne_district_1531.png
1554,2017/01/20/5e5gqae8q2_Reed_district_1554.png,Reed_district_1554.png
1567,2017/01/20/9afiwgmuvc_Royce_district_1567.png,Royce_district_1567.png
1573,2017/01/20/5u4dmx99rc_Rogers_district_1573.png,Rogers_district_1573.png
1596,2017/01/20/7hl3up2ey4_Reed_district_1596.png,Reed_district_1596.png
1613,2017/01/20/1w2xk89gzq_Rubio_district_1613.png,Rubio_district_1613.png
1628,2017/01/20/6pxmcnllk8_Ratcliffe_district_1628.png,Ratcliffe_district_1628.png
1651,2017/01/20/1k89mok9vi_Schumer_district_1651.png,Schumer_district_1651.png
1661,2017/01/20/3xv5iwdeut_Shelby_district_1661.png,Shelby_district_1661.png
1669,2017/01/20/rdmtkrz6f_Slaughter_district_1669.png,Slaughter_district_1669.png
1688,2017/01/20/71czqxrbdf_Stabenow_district_1688.png,Stabenow_district_1688.png
1707,2017/01/20/6l6rx9exfw_S_nchez_district_1707.png,Sánchez_district_1707.png
1715,2017/01/20/5rxuw8mjet_Sarbanes_district_1715.png,Sarbanes_district_1715.png
