member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"TX27 Blake Farenthold, R",,TX27,Blake Farenthold,Farenthold,Blake,,,R,2331 Rayburn House Office Building,Washington,DC,20515-4327,F000460,
"TX28 Henry Cuellar, D",,TX28,Henry Cuellar,Cuellar,Henry,,,D,2209 Rayburn House Office Building,Washington,DC,20515-4328,C001063,
"TX29 Gene Green, D",,TX29,Gene Green,Green,Gene,,,D,2470 Rayburn House Office Building,Washington,DC,20515-4329,G000410,
"TX30 Eddie Bernice Johnson, D",,TX30,Eddie Bernice Johnson,Johnson,Eddie,Bernice,,D,2468 Rayburn House Office Building,Washington,DC,20515-4330,J000126,
"TX31 John R. Carter, R",,TX31,John R. Carter,Carter,John,R.,,R,2110 Rayburn House Office Building,Washington,DC,20515-4331,C001051,
"TX32 Pete Sessions, R",,TX32,Pete Sessions,Sessions,Pete,,,R,2233 Rayburn House Office Building,Washington,DC,20515-4332,S000250,
"TX33 Marc A. Veasey, D",,TX33,Marc A. Veasey,Veasey,Marc,A.,,D,1519 Longworth House Office Building,Washington,DC,20515-4333,V000131,
"TX34 Filemon Vela, D",,TX34,Filemon Vela,Vela,Filemon,,,D,437 Cannon House Office Building,Washington,DC,20515-4334,V000132,
"TX35 Lloyd Doggett, D",,TX35,Lloyd Doggett,Doggett,Lloyd,,,D,2307 Rayburn House Office Building,Washington,DC,20515-4335,D000399,
"TX36 Brian Babin, R",,TX36,Brian Babin,Babin,Brian,,,R,316 Cannon House Office Building,Washington,DC,20515-4336,B001291,
"UT01 Rob Bishop, R","Ogden office, Brigham City office",UT01,Rob Bishop,Bishop,Rob,,,R,123 Cannon House Office Building,Washington,DC,20515-4401,B001250,"68,69"
"UT02 Chris Stewart, R","Salt Lake City District Office, St. George District Office",UT02,Chris Stewart,Stewart,Chris,,,R,323 Cannon House Office Building,Washington,DC,20515-4402,S001192,"70,71"
"UT03 Jason Chaffetz, R","PROVO, UT OFFICE",UT03,Jason Chaffetz,Chaffetz,Jason,,,R,2236 Rayburn House Office Building,Washington,DC,20515-4403,C001076,72
"UT04 Mia B. Love, R",State Offices,UT04,Mia B. Love,Love,Mia,B.,,R,217 Cannon House Office Building,Washington,DC,20515-4404,L000584,74
